161	[(0, 0.021957440856115996), (1, 0.021274623656389602), (2, 0.017997705053579494), (3, 0.019142354532641119), (4, 0.018826369718037139), (5, 0.021065583264455207), (6, 0.022993067693701175), (7, 0.018787889862819977), (8, 0.026524329707127384), (9, 0.021429092063970194), (10, 0.017468002102374647), (11, 0.020398368716018633), (12, 0.020850513051615414), (13, 0.020807609443950804), (14, 0.020634997723569453), (15, 0.01834305022099195), (16, 0.019455422577990624), (17, 0.018126920935835719), (18, 0.020019154298357773), (19, 0.018693900695380891), (20, 0.015905160708995929), (21, 0.018961779790428679), (22, 0.019598766621012769), (23, 0.02005205526893155), (24, 0.018733357051470986), (25, 0.020162744926504144), (26, 0.017881602495321787), (27, 0.017260711453904669), (28, 0.01818285756261619), (29, 0.018349463216915107), (30, 0.021705897047440824), (31, 0.017760360146530201), (32, 0.023538321963804738), (33, 0.018168553986284721), (34, 0.017440785904908305), (35, 0.021572037021719167), (36, 0.018046236846135433), (37, 0.018658282625581789), (38, 0.031391244161185002), (39, 0.019905960213626825), (40, 0.018264345828743884), (41, 0.019140836734849519), (42, 0.016867615085447932), (43, 0.022972903186233833), (44, 0.02105458506568576), (45, 0.02077108851993963), (46, 0.020198468760029339), (47, 0.018951473287798323), (48, 0.018236785947630178), (49, 0.025469322395399594)]
162	[(14, 0.0221198454783578), (23, 0.050007922416680339), (25, 0.17746314036500754), (26, 0.011277883454754082), (32, 0.32860804619886258), (40, 0.12277934362993917), (49, 0.27842846372927982)]
163	[(48, 0.99274568974982735)]
164	[(0, 0.083635608440528558), (6, 0.14735899427524032), (14, 0.033378038983955381), (23, 0.14499790115987915), (38, 0.36815476222475224), (39, 0.019156346633589953), (41, 0.038075708766026825), (47, 0.16095545341776143)]
165	[(0, 0.14885711076073493), (34, 0.59357777741302353), (43, 0.13605956631304797)]
166	[(19, 0.020288751781408723), (26, 0.10422760119874921), (29, 0.48735276072405487), (34, 0.31720691757791386), (41, 0.012733146183440855), (48, 0.043296522185330401)]
167	[(14, 0.022118258914995154), (23, 0.050035263898227225), (25, 0.17746879385133779), (26, 0.011277901878844967), (32, 0.32857947386720537), (40, 0.12277821753700451), (49, 0.27842673532526641)]
168	[(8, 0.38783002104985936), (33, 0.50052110644144265)]
169	[(10, 0.99734753107381813)]
170	[(6, 0.059994665561087852), (14, 0.73583448296745468), (38, 0.029137621902472332), (49, 0.16133412231743158)]
171	[(0, 0.12411466086899552), (17, 0.037594018422957995), (21, 0.83072862465479591)]
172	[(5, 0.048530104007198413), (15, 0.015198930646707791), (25, 0.075925953778232788), (26, 0.16622067876929655), (30, 0.68411465793366311)]
173	[(30, 0.22980284707965407), (36, 0.034429417862817557), (40, 0.64653942194600067), (44, 0.065481869718729352)]
174	[(26, 0.27539701398452865), (44, 0.45147915650581699)]
175	[(15, 0.83740855773596379)]
176	[(15, 0.83740855773595213)]
177	[(15, 0.83740855773596357)]
178	[(15, 0.81114622413614235)]
179	[(17, 0.72096240439505976)]
180	[(0, 0.012239619913856295), (1, 0.37135991896390136), (5, 0.01973328199080061), (12, 0.030233545358399512), (14, 0.015008397748817029), (36, 0.029834828182906767), (47, 0.025345677751246146), (48, 0.45720921697185879)]
181	[(8, 0.013829248219268507), (13, 0.010714032501980893), (19, 0.016919510793792461), (27, 0.02814200521551475), (29, 0.21690479786256717), (34, 0.02088071744772307), (35, 0.083546305164728385), (44, 0.57950155363780487), (46, 0.013930719544051331)]
182	[(6, 0.038680744779166956), (22, 0.063361809557829982), (24, 0.69680806239409954), (38, 0.035424391493109948), (44, 0.16197116049456717)]
183	[(25, 0.036280793971983541), (28, 0.043036498250939734), (48, 0.90261486175323558)]
184	[(2, 0.14234678943324622), (36, 0.42611241782198356), (38, 0.29593766687857009)]
185	[(1, 0.11596237752805238), (3, 0.15277666361390124), (9, 0.1306613501677997), (19, 0.4120487387116088), (20, 0.020070495630363557), (35, 0.039538486466340304), (42, 0.10836197138086823)]
186	[(4, 0.053921375159627451), (19, 0.55530147206171854), (30, 0.36064868288519397)]
187	[(6, 0.99388160003434489)]
188	[(7, 0.16776067194821515), (11, 0.09876806316895112), (30, 0.51281584822588), (43, 0.21084200743837744)]
189	[(6, 0.99388160003434145)]
190	[(0, 0.081206603176402589), (5, 0.21703943002144468), (11, 0.23048926899527319), (12, 0.024959654974722367), (16, 0.013159878932374724), (19, 0.12854359419547876), (26, 0.014988165087877814), (32, 0.029534375303094249), (34, 0.07070781996926076), (46, 0.16760392608020949), (48, 0.010664294271951955)]
191	[(6, 0.20553834956916286), (18, 0.18009121345662357), (19, 0.053590249429140695), (32, 0.018168107543517067), (38, 0.22797903158120278), (39, 0.10878035210620744), (48, 0.19579143214207184)]
